|arrests|tags|stems
8445|RUN STOP SIGN|Vehicle / Traffic Violation|run stop sign
8446|TRAFFIC CONTROL SIGNALS|Vehicle / Traffic Violation|traffic control signal
8447|RECKLESS DRIVING|Vehicle / Traffic Violation|reckless drive
8448|FLEE OR ATTEMPT TO ELUDE POLICE OFFICER|Elusion|flee attempt elud polic offic
8449|RESIST/OBSTRUCT ARREST|Obstruction|resist obstruct arrest
8450|DISORDERLY CONDUCT BRAWLING/FIGHTING|Disturbance|disorderli conduct brawl fight
8451|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
8452|DISORDERLY CONDUCT BRAWLING/FIGHTING|Disturbance|disorderli conduct brawl fight
8453|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
8454|POSSESSION OF DRUG PARAPHERNALIA|Drug Paraphernalia|possess drug paraphernalia
8455|DUI|DUI|dui
8456|HIT AND RUN|Hit and Run|hit run
8457|TRANSPORT OPEN ALCOHOLIC BEVERAGES|Alcohol|transport open alcohol beverag
8458|POSSESSION OF PARAPHERNALIA|Drug Paraphernalia|possess paraphernalia
8459|AGGRAVATED ASSAULT|Assault|aggrav assault
8460|BATTERY|Battery|batteri
8461|AGGRAVATED BATTERY|Battery|aggrav batteri
8462|CHILD ENDANGERMENT|Child Abuse|child endanger
8463|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
8464|LIGHTS REQUIRED CERTAIN HOURS|Vehicle / Traffic Violation|light requir certain hour
8465|NO PROOF OF INSURANCE|Insurance|proof insur
8466|DUI|DUI|dui
8467|DUI INCAPABLE OF SAFELY OPERATING|DUI|dui incap safe oper
8468|FIGHTING/DOMESTIC VIOLENCE|Domestic Violence|fight domest violenc
8469|DISORDERLY CONDUCT BRAWLING/FIGHTING|Disturbance|disorderli conduct brawl fight
8470|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
8471|BATTERY BODILY HARM|Battery|batteri bodili harm
8472|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
8473|SPEED 30 MPH|Speed Limit|speed mph
8474|NO PROOF OF INSURANCE|Insurance|proof insur
8475|DRIVING ACROSS BARRIER|Vehicle / Traffic Violation|drive across barrier
8476|FAILURE TO DRIVING RIGHT SIDE 3 LANES|Vehicle / Traffic Violation|failur drive right side lane
8477|DUI INCAPABLE OF SAFELY OPERATING|DUI|dui incap safe oper
8478|DUI|DUI|dui
8479|NO DRIVER'S LICENSE|License|driver licens
8480|RUN STOP SIGN|Vehicle / Traffic Violation|run stop sign
8481|NO PROOF OF INSURANCE|Insurance|proof insur
8482|OPERATE VEHICLE WITHOUT REQUIRED INTERLOCK DEVICE|DUI|oper vehicl without requir interlock devic
8483|CRIMINAL CONTEMPT|Disturbance|crimin contempt
8484|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
8485|DUI INCAPABLE OF SAFELY OPERATING|DUI|dui incap safe oper
8486|POSSESSION OF NARCOTICS|Narcotics / Other Drugs|possess narcot
8487|DUI INCAPABLE OF SAFELY OPERATING|DUI|dui incap safe oper
8488|ASSAULT|Assault|assault
8489|POSSESSION OF A FIREARM UNDER THE INFLUENCE|Firearms|possess firearm influenc
8490|DRIVE UNDER THE INFLUENCE|DUI|drive influenc
8491|NO PROOF OF INSURANCE|Insurance|proof insur
8492|POSSESSION OF DRUG PARAPHERNALIA|Drug Paraphernalia|possess drug paraphernalia
8493|UNLAWFUL INHALATION|Narcotics / Other Drugs|unlaw inhal
8494|ROBBERY AGGRAVATED VEHICLE/PROPERTY|Robbery|robberi aggrav vehicl properti
8495|BURGLARY RESIDENCE|Burglary|burglari resid
8496|ASSAULT, AGGRAVATED, FIREARMS|Firearms|assault aggrav firearm
8497|DISORDERLY CONDUCT BRAWLING/FIGHTING|Disturbance|disorderli conduct brawl fight
8498|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
8499|DISORDERLY CONDUCT BRAWLING/FIGHTING|Disturbance|disorderli conduct brawl fight
8500|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
8501|RESIST/OBSTRUCT ARREST|Obstruction|resist obstruct arrest
8502|RUNAWAY|Runaway|runaway
8503|CRIMINAL TRESPASS|Trespass|crimin trespass
8504|BATTERY OF LAW ENFORCEMENT OFFICER|Battery|batteri law enforc offic
8505|POSSESSION OF DRUG PARAPHERNALIA|Drug Paraphernalia|possess drug paraphernalia
8506|INTERFERE WITH LAW ENFORCEMENT OBSTRUCT, RESIST, ETC|Obstruction|interfer law enforc obstruct resist etc
8507|BATTERY PHYSICAL CONTACT|Battery|batteri physic contact
8508|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
8509|UNLAWFUL POSSESSION OF METH|Meth|unlaw possess meth
8510|POSSESSION OF PARAPHERNALIA|Drug Paraphernalia|possess paraphernalia
8511|LARCENY B SHOPLIFT|Larceny|larceni b shoplift
8512|LARCENY B FROM BUILDING|Larceny|larceni b build
8513|RESIST/OBSTRUCT ARREST|Obstruction|resist obstruct arrest
8514|BATTERY|Battery|batteri
8515|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
8516|POSSESSION OF DRUG PARAPHERNALIA|Drug Paraphernalia|possess drug paraphernalia
8517|OBSTRUCT LEGAL PROCESS|Obstruction|obstruct legal process
8518|ROBBERY, RESIDENTIAL, AGGRAVATED|Robbery|robberi residenti aggrav
8519|BURGLARY AGGRAVATED RESIDENCE|Burglary|burglari aggrav resid
8520|BATTERY|Battery|batteri
8521|BATTERY OF LAW ENFORCEMENT OFFICER|Battery|batteri law enforc offic
8522|RUNAWAY|Runaway|runaway
8523|CONSUMPTION IN PUBLIC PLACES PROHIBITED|Alcohol|consumpt public place prohibit
8524|PETIT THEFT|Theft|petit theft
8525|WILLFUL CRIMINAL DAMAGE TO PROPERTY|Property Damage|will crimin damag properti
8526|DISPLAY ALTERED TAG|Vehicle / Traffic Violation|display alter tag
8527|DRIVING ON SUSPENDED/REVOKED/CANCELLED/FRAUDULENT DRIVERS LICENSE|License|drive suspend revok cancel fraudul driver licens
8528|POSSESSION OF DRUG PARAPHERNALIA|Drug Paraphernalia|possess drug paraphernalia
8529|DRIVING ON SUSPENDED/REVOKED/CANCELLED/FRAUDULENT DRIVERS LICENSE|License|drive suspend revok cancel fraudul driver licens
8530|NO PROOF OF INSURANCE|Insurance|proof insur
8531|CRIMINAL TRESPASS|Trespass|crimin trespass
8532|OTHER DESTRUCTION TO PROPERTY|Property Damage|destruct properti
8533|FLEE OR ATTEMPT TO ELUDE POLICE OFFICER|Elusion|flee attempt elud polic offic
8534|AGGRAVATED BATTERY|Battery|aggrav batteri
8535|OTHER DESTRUCTION TO PROPERTY|Property Damage|destruct properti
8536|STOLEN PROPERTY BUYING|Theft|stolen properti buy
8537|POSSESSION OF DRUG PARAPHERNALIA|Drug Paraphernalia|possess drug paraphernalia
8538|SPEED EXCESS LIMIT CONSTRUCTION ZONE|Speed Limit|speed excess limit construct zone
8539|RECKLESS DRIVING|Vehicle / Traffic Violation|reckless drive
8540|DRIVING OFF ROADWAY TO PASS A VEHICLE ON RIGHT|Vehicle / Traffic Violation|drive roadway pass vehicl right
8541|RESIST/OBSTRUCT ARREST|Obstruction|resist obstruct arrest
8542|FAILURE TO DRIVE WITHIN MARKED LANE|Vehicle / Traffic Violation|failur drive within mark lane
8543|FAILURE TO SIGNAL TURN|Vehicle / Traffic Violation|failur signal turn
8544|AGGRAVATED WEAPONS VIOLATION|Weapons|aggrav weapon violat
8545|FAILURE TO YIELD RIGHT OF WAY VEHICLE ON RIGHT|Vehicle / Traffic Violation|failur yield right way vehicl right
8546|DRIVING WHILE LICENSE CANCELLED/SUSPENDED/REVOKED|License|drive licens cancel suspend revok
8547|TRANSPORT OPEN CONTAINER LIQUOR|Alcohol|transport open contain liquor
8548|POSSESSION OF NARCOTICS|Narcotics / Other Drugs|possess narcot
8549|RESIST/OBSTRUCT ARREST|Obstruction|resist obstruct arrest
8550|AGGRAVATED BATTERY,|Battery|aggrav batteri
8551|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
8552|TRESPASS|Trespass|trespass
8553|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
8554|DUI INCAPABLE OF SAFELY OPERATING|DUI|dui incap safe oper
8555|CARELESS DRIVING ENGINEER|Vehicle / Traffic Violation|careless drive engin
8556|UNLAWFUL POSSESSION OF METH|Meth|unlaw possess meth
8557|POSSESSION OF DRUG PARAPHERNALIA|Drug Paraphernalia|possess drug paraphernalia
8558|DUI|DUI|dui
8559|DUI INCAPABLE OF SAFELY OPERATING|DUI|dui incap safe oper
8560|DRIVING ON SUSPENDED/REVOKED/CANCELLED/FRAUDULENT DRIVERS LICENSE|License|drive suspend revok cancel fraudul driver licens
8561|NO PROOF OF INSURANCE|Insurance|proof insur
8562|DISORDERLY CONDUCT BRAWLING/FIGHTING|Disturbance|disorderli conduct brawl fight
8563|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
8564|DISORDERLY CONDUCT BRAWLING/FIGHTING|Disturbance|disorderli conduct brawl fight
8565|RESIST/OBSTRUCT ARREST|Obstruction|resist obstruct arrest
8566|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
8567|DUI INCAPABLE OF SAFELY OPERATING|DUI|dui incap safe oper
8568|NO PROOF OF INSURANCE|Insurance|proof insur
8569|BATTERY|Battery|batteri
8570|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
8571|DISORDERLY CONDUCT BRAWLING/FIGHTING|Disturbance|disorderli conduct brawl fight
8572|OTHER DESTRUCTION TO AUTO|Property Damage|destruct auto
8573|BATTERY|Battery|batteri
8574|INTIMIDATION|Intimidation|intimid
8575|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
8576|UNLAWFUL POSSESSION OF METH|Meth|unlaw possess meth
8577|POSSESSION OF DRUG PARAPHERNALIA|Drug Paraphernalia|possess drug paraphernalia
8578|RESIST/OBSTRUCT ARREST|Obstruction|resist obstruct arrest
8579|CRIMINAL TRESPASS|Trespass|crimin trespass
8580|CRIMINAL CONTEMPT|Disturbance|crimin contempt
8581|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
8582|DESTRUCTION OF PROPERTY|Property Damage|destruct properti
8583|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
8584|CRIMINAL TRESPASS|Trespass|crimin trespass
8585|BATTERY|Battery|batteri
8586|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
8587|POSSESSION OF DRUG PARAPHERNALIA|Drug Paraphernalia|possess drug paraphernalia
8588|AGGRAVATED BATTERY,|Battery|aggrav batteri
8589|DESTRUCTION OF PROPERTY|Property Damage|destruct properti
8590|BATTERY|Battery|batteri
8591|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
8592|FORCIBLE RAPE|Rape|forcibl rape
8593|SODOMY, AGGRAVATED|Sexual Assault|sodomi aggrav
8594|POSSESSION OF DRUG PARAPHERNALIA|Drug Paraphernalia|possess drug paraphernalia
8595|AGGRAVATED ASSAULT|Assault|aggrav assault
8596|BATTERY|Battery|batteri
8597|DESTRUCTION OF PROPERTY|Property Damage|destruct properti
8598|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
8599|CRIMINAL TRESPASS|Trespass|crimin trespass
8600|PETIT THEFT|Theft|petit theft
8601|POSSESSION OF NARCOTICS|Narcotics / Other Drugs|possess narcot
8602|DRIVING WHILE LICENSE CANCELLED/SUSPENDED/REVOKED|License|drive licens cancel suspend revok
8603|TAG REQUIRED|Vehicle / Traffic Violation|tag requir
8604|KNOWINGLY DRIVE UNINSURED VEHICLE|Insurance|knowingli drive uninsur vehicl
8605|TRAFFIC CONTROL SIGNALS|Vehicle / Traffic Violation|traffic control signal
8606|AGGRAVATED ASSAULT FIREARMS|Firearms|aggrav assault firearm
8607|BATTERY|Battery|batteri
8608|POSSESSION OF FIREARM BY A FELON|Firearms|possess firearm felon
8609|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
8610|BATTERY BODILY HARM|Battery|batteri bodili harm
8611|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
8612|BATTERY|Battery|batteri
8613|DESTRUCTION OF PROPERTY|Property Damage|destruct properti
8614|BATTERY OF LAW ENFORCEMENT OFFICER|Battery|batteri law enforc offic
8615|AGGRAVATED ASSAULT|Assault|aggrav assault
8616|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
8617|CRIMINAL TRESPASS|Trespass|crimin trespass
8618|INTERFERE WITH LAW ENFORCEMENT OBSTRUCT, RESIST, ETC|Obstruction|interfer law enforc obstruct resist etc
8619|POSSESSION OF MARIJUANA|Marijuana|possess marijuana
8620|UNLAWFUL POSSESSION OF METH|Meth|unlaw possess meth
8621|LARCENY B SHOPLIFT|Larceny|larceni b shoplift
8622|UNLAWFUL USE FINANCIAL CARD|Fraud|unlaw use financi card
8623|STOLEN PROPERTY BUYING|Theft|stolen properti buy
8624|RESIST/OBSTRUCT ARREST|Obstruction|resist obstruct arrest
8625|AGGRAVATED FALSE IMPERSONATION|Fraud|aggrav fals imperson
8626|PETIT THEFT|Theft|petit theft
8627|BATTERY|Battery|batteri
8628|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
8629|DUI|DUI|dui
8630|DUI INCAPABLE OF SAFELY OPERATING|DUI|dui incap safe oper
8631|INATTENTIVE DRIVING|Vehicle / Traffic Violation|inattent drive
8632|RUNAWAY|Runaway|runaway
8633|LARCENY B ALL OTHER|Larceny|larceni b
8634|BATTERY|Battery|batteri
8635|BATTERY OF LAW ENFORCEMENT OFFICER|Battery|batteri law enforc offic
8636|RESIST/OBSTRUCT ARREST|Obstruction|resist obstruct arrest
8637|AGGRAVATED BATTERY,|Battery|aggrav batteri
8638|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
8639|DRIVE UNDER THE INFLUENCE|DUI|drive influenc
8640|RECKLESS DRIVING|Vehicle / Traffic Violation|reckless drive
8641|TRANSPORT OPEN CONTAINER LIQUOR|Alcohol|transport open contain liquor
8642|BATTERY PHYSICAL CONTACT/RUDE|Battery|batteri physic contact rude
8643|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
8644|WILLFUL CRIMINAL DAMAGE TO PROPERTY|Property Damage|will crimin damag properti
8645|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
8646|BATTERY BODILY HARM|Battery|batteri bodili harm
8647|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
8648|BATTERY BODILY HARM|Battery|batteri bodili harm
8649|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
8650|DRIVING ON SUSPENDED/REVOKED/CANCELLED/FRAUDULENT DRIVERS LICENSE|License|drive suspend revok cancel fraudul driver licens
8651|NO PROOF OF INSURANCE|Insurance|proof insur
8652|DRIVING ON SUSPENDED/REVOKED/CANCELLED/FRAUDULENT DRIVERS LICENSE|License|drive suspend revok cancel fraudul driver licens
8653|PASS IN NO PASSING ZONE|Vehicle / Traffic Violation|pass pass zone
8654|DRIVE ON LEFT W/IN 100' INTERSECTION/RAILROAD|Vehicle / Traffic Violation|drive left w intersect railroad
8655|DRIVING ON SUSPENDED/REVOKED/CANCELLED/FRAUDULENT DRIVERS LICENSE|License|drive suspend revok cancel fraudul driver licens
8656|NO PROOF OF INSURANCE|Insurance|proof insur
8657|RESIST/OBSTRUCT ARREST|Obstruction|resist obstruct arrest
8658|POSSESSION OF FIREARM BY A FELON|Firearms|possess firearm felon
8659|POSSESSION OF PARAPHERNALIA|Drug Paraphernalia|possess paraphernalia
8660|UNLAWFUL SALE OF MARIJUANA|Marijuana|unlaw sale marijuana
8661|UNLAWFUL SALE OR DISTRIBUTION OF NARCOTICS|Narcotics / Other Drugs|unlaw sale distribut narcot
8662|BATTERY PHYSICAL CONTACT|Battery|batteri physic contact
8663|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
8664|POSSESSION OF CONTROL MARIJUANA/HALLUCINOGENICS|Marijuana|possess control marijuana hallucinogen
8665|NO DRIVER'S LICENSE|License|driver licens
8666|ILLEGAL TAG|Vehicle / Traffic Violation|illeg tag
8667|POSSESSION OF CONTROL MARIJUANA/HALLUCINOGENICS|Marijuana|possess control marijuana hallucinogen
8668|PETIT THEFT|Theft|petit theft
8669|CRIMINAL TRESPASS|Trespass|crimin trespass
8670|PETIT THEFT|Theft|petit theft
8671|BATTERY PHYSICAL CONTACT/RUDE|Battery|batteri physic contact rude
8672|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
8673|PETIT THEFT|Theft|petit theft
8674|CRIMINAL TRESPASS|Trespass|crimin trespass
8675|DRIVING ON SUSPENDED/REVOKED/CANCELLED/FRAUDULENT DRIVERS LICENSE|License|drive suspend revok cancel fraudul driver licens
8676|CARELESS DRIVING ENGINEER|Vehicle / Traffic Violation|careless drive engin
8677|FAILURE TO DRIVE RIGHT SIDE OF ROAD 2 LANES|Vehicle / Traffic Violation|failur drive right side road lane
8678|FAILURE TO SIGNAL TURN|Vehicle / Traffic Violation|failur signal turn
8679|RUN STOP SIGN|Vehicle / Traffic Violation|run stop sign
8680|FAILURE TO STOP FROM ALLEY, BUILDING, PRIVATE ROAD OR DRIVEWAY|Vehicle / Traffic Violation|failur stop alley build privat road driveway
8681|ILLEGAL LEFT TURN|Vehicle / Traffic Violation|illeg left turn
8682|VEHICLE: NO PASSING ZONES|Vehicle / Traffic Violation|vehicl pass zone
8683|SPEED 30 MPH|Speed Limit|speed mph
8684|DRIVING OFF ROADWAY TO PASS A VEHICLE ON RIGHT|Vehicle / Traffic Violation|drive roadway pass vehicl right
8685|FLEE OR ATTEMPT TO ELUDE POLICE OFFICER|Elusion|flee attempt elud polic offic
8686|RESIST/OBSTRUCT ARREST|Obstruction|resist obstruct arrest
8687|STOLEN PROPERTY BUYING|Theft|stolen properti buy
8688|MINORS POSSESSING, CONSUMING, PURCHASING, OBTAINING ALCOHOL/LIQUOR BEVERAGES|Alcohol|minor possess consum purchas obtain alcohol liquor beverag
8689|TRANSPORT OPEN ALCOHOLIC BEVERAGES|Alcohol|transport open alcohol beverag
8690|DRIVING ON SUSPENDED/REVOKED/CANCELLED/FRAUDULENT DRIVERS LICENSE|License|drive suspend revok cancel fraudul driver licens
8691|LIGHTS REQUIRED SUNSET TO SUNRISE|Vehicle / Traffic Violation|light requir sunset sunris
8692|NO VALID DRIVER'S LICENSE IN POSSESSION|License|valid driver licens possess
8693|POSSESSION OF CONTROL MARIJUANA/HALLUCINOGENICS|Marijuana|possess control marijuana hallucinogen
8694|MINORS POSSESSING, CONSUMING, PURCHASING, OBTAINING ALCOHOL/LIQUOR BEVERAGES|Alcohol|minor possess consum purchas obtain alcohol liquor beverag
8695|TRANSPORT OPEN ALCOHOLIC BEVERAGES|Alcohol|transport open alcohol beverag
8696|AGGRAVATED BATTERY OF LAW ENFORCEMENT OFFICER|Battery|aggrav batteri law enforc offic
8697|BATTERY OF LAW ENFORCEMENT OFFICER|Battery|batteri law enforc offic
8698|CIGARETTE/TOBACCO PRODUCTS VIOLATION|Narcotics / Other Drugs|cigarett tobacco product violat
8699|POSSESSION OF CONTROL MARIJUANA/HALLUCINOGENICS|Marijuana|possess control marijuana hallucinogen
8700|POSSESSION OF CONTROL MARIJUANA/HALLUCINOGENICS|Marijuana|possess control marijuana hallucinogen
8701|SPEED OVER LIMIT|Speed Limit|speed limit
8702|UNLAWFUL POSSESSION OF METH|Meth|unlaw possess meth
8703|POSSESSION OF DRUG PARAPHERNALIA|Drug Paraphernalia|possess drug paraphernalia
8704|BATTERY|Battery|batteri
8705|FLEE OR ATTEMPT TO ELUDE POLICE OFFICER|Elusion|flee attempt elud polic offic
8706|RECKLESS DRIVING|Vehicle / Traffic Violation|reckless drive
8707|CHILD ENDANGERMENT|Child Abuse|child endanger
8708|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
8709|CRIMINAL TRESPASS|Trespass|crimin trespass
8710|DRIVING ON SUSPENDED/REVOKED/CANCELLED/FRAUDULENT DRIVERS LICENSE|License|drive suspend revok cancel fraudul driver licens
8711|CRIMINAL TRESPASS|Trespass|crimin trespass
8712|DRIVING ON SUSPENDED/REVOKED/CANCELLED/FRAUDULENT DRIVERS LICENSE|License|drive suspend revok cancel fraudul driver licens
8713|SPEED OVER LIMIT|Speed Limit|speed limit
8714|DRIVING ON SUSPENDED/REVOKED/CANCELLED/FRAUDULENT DRIVERS LICENSE|License|drive suspend revok cancel fraudul driver licens
8715|ILLEGAL TAG|Vehicle / Traffic Violation|illeg tag
8716|CONSUME ALCOHOL/LIQUOR IN PUBLIC|Alcohol|consum alcohol liquor public
8717|CRIMINAL TRESPASS|Trespass|crimin trespass
8718|FAILURE TO SIGNAL TURN|Vehicle / Traffic Violation|failur signal turn
8719|DISOBEYING POLICE|Vehicle / Traffic Violation|disobey polic
8720|UNLAWFUL SALE OR DISTRIBUTION OF NARCOTICS|Narcotics / Other Drugs|unlaw sale distribut narcot
8721|POSSESSION OF DRUG PARAPHERNALIA|Drug Paraphernalia|possess drug paraphernalia
8722|DRIVING WHILE LICENSE CANCELLED/SUSPENDED/REVOKED|License|drive licens cancel suspend revok
8723|NO TAX STAMP|Firearms|tax stamp
8724|CRIMINAL TRESPASS|Trespass|crimin trespass
8725|UNLAWFUL POSSESSION OF METH|Meth|unlaw possess meth
8726|POSSESSION OF DRUG PARAPHERNALIA|Drug Paraphernalia|possess drug paraphernalia
8727|AGGRAVATED WEAPONS VIOLATION|Weapons|aggrav weapon violat
8728|CRIMINAL TRESPASS|Trespass|crimin trespass
8729|UNLAWFUL POSSESSION OF METH|Meth|unlaw possess meth
8730|POSSESSION OF PARAPHERNALIA|Drug Paraphernalia|possess paraphernalia
8731|CHECKS FORGED OR FICTITIOUS|Fraud|check forg fictiti
8732|CONSUME ALCOHOL/LIQUOR IN PUBLIC|Alcohol|consum alcohol liquor public
8733|BATTERY BODILY HARM|Battery|batteri bodili harm
8734|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
8735|AGGRAVATED WEAPONS VIOLATION|Weapons|aggrav weapon violat
8736|RESIST/OBSTRUCT ARREST|Obstruction|resist obstruct arrest
8737|STOLEN PROPERTY BUYING|Theft|stolen properti buy
8738|BATTERY PHYSICAL CONTACT|Battery|batteri physic contact
8739|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
8740|DISORDERLY CONDUCT BRAWLING/FIGHTING|Disturbance|disorderli conduct brawl fight
8741|BATTERY OF LAW ENFORCEMENT OFFICER|Battery|batteri law enforc offic
8742|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
8743|DUI|DUI|dui
8744|DUI INCAPABLE OF SAFELY OPERATING|DUI|dui incap safe oper
8745|TRANSPORT OPEN ALCOHOLIC BEVERAGES|Alcohol|transport open alcohol beverag
8746|BATTERY BODILY HARM|Battery|batteri bodili harm
8747|TRESPASS PRIVATE PROPERTY|Trespass|trespass privat properti
8748|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
8749|TRAFFIC CONTROL SIGNALS|Vehicle / Traffic Violation|traffic control signal
8750|POSSESSION OF NARCOTICS|Narcotics / Other Drugs|possess narcot
8751|POSSESSION OF MARIJUANA|Marijuana|possess marijuana
8752|POSSESSION OF PARAPHERNALIA|Drug Paraphernalia|possess paraphernalia
8753|POSSESSION OF NARCOTICS|Narcotics / Other Drugs|possess narcot
8754|WILLFUL CRIMINAL DAMAGE TO PROPERTY|Property Damage|will crimin damag properti
8755|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
8756|POSSESSION OF CONTROL MARIJUANA/HALLUCINOGENICS|Marijuana|possess control marijuana hallucinogen
8757|TRANSPORT OPEN ALCOHOLIC BEVERAGES|Alcohol|transport open alcohol beverag
8758|DRIVING ON SUSPENDED/REVOKED/CANCELLED/FRAUDULENT DRIVERS LICENSE|License|drive suspend revok cancel fraudul driver licens
8759|TRANSPORT OPEN ALCOHOLIC BEVERAGES|Alcohol|transport open alcohol beverag
